"","OBJECTID_1","mean_slope"
"1",1,28.1364932444246
"2",2,36.6062799762571
"3",3,33.9460093879181
"4",4,20.1912862900688
"5",5,4.97390790196019
"6",6,0
"7",7,24.3708498360437
"8",8,3.15683096420872
"9",9,34.3389676897273
"10",10,13.0349990356418
"11",11,0.94758568052324
"12",12,18.4168805542496
"13",13,2.80155823542925
"14",14,10.0622026123824
"15",15,0.780762233729606
"16",16,25.4922405533115
"17",17,10.7820531532023
"18",18,17.327409566529
"19",19,2.44572924718301
"20",20,28.7411596052542
"21",21,2.1335922087139
"22",22,5.22453789293113
"23",23,2.09176404708696
"24",24,29.2925839398209
"25",25,27.3215639348372
"26",26,2.38588105158722
"27",27,27.9474172761263
"28",28,9.69515288739313
"29",29,4.30389299697797
"30",30,1.17347832190412
"31",31,10.2707740439399
"32",32,1.91627192995047
"33",33,2.38315449231459
"34",34,6.57167762027227
"35",35,2.50232042213213
"36",36,3.41350341179398
"37",37,2.86664256867514
"38",38,29.50292304254
"39",39,11.3194420639825
"40",40,7.7744455715069
"41",41,31.8046418493629
"42",42,12.7741916354615
"43",43,33.9229649081163
"44",44,9.79197980148579
"45",45,10.8373717085421
"46",46,9.18099525232145
"47",47,9.01786529955769
"48",48,7.9546454367577
"49",49,11.6257726802373
"50",50,32.3989144179416
"51",51,3.20569617853288
"52",52,14.2092258975948
"53",53,21.1789757033658
"54",54,11.9850414335192
"55",55,14.0124562772465
"56",56,30.0045282456252
"57",57,15.0365687246601
"58",58,13.4670183283411
"59",59,9.35513001843057
"60",60,10.200150286332
"61",61,8.7295398796741
"62",62,4.96930643953829
"63",63,11.3508475239846
"64",64,28.1326739544674
"65",65,12.2743573135071
"66",66,20.4962886785074
"67",67,13.0945141097275
"68",68,16.7780008246509
"69",69,23.7100939355507
"70",70,18.9044189896858
"71",71,1.22975654497637
"72",72,3.15090387974008
"73",73,10.6784250382695
"74",74,0.513034194038481
"75",75,3.06853186769001
"76",76,12.6689325801873
"77",77,0.0631631214180138
"78",78,0.662519558552327
"79",79,0.780956463427587
"80",80,0
"81",81,0.201619416725255
"82",82,12.9845407756654
"83",83,33.8024884235147
"84",84,27.6341114204679
"85",85,30.469203378978
"86",86,32.8226546406153
"87",87,32.5512616135088
"88",88,12.4884890428492
"89",89,12.2672166904194
"90",90,32.041437996595
"91",91,7.22577372008351
"92",92,32.322977895409
"93",93,0.0940020409904412
"94",94,36.3229960520477
"95",95,25.7411447259972
"96",96,31.6630816972876
"97",97,12.8040741039287
