"","station","station_name","elevation","lat","lon","date","time","qgag","qgag_flag","qgag_qual","qgag_units","qpcp","qpcp_flag","qpcp_qual","qpcp_units","datetime10"
"1","COOP:519500","WAILUPE VALLEY SCHOOL 723.6 HI US",61,21.2918,-157.7534,2010-12-19,"2:00",0.25," ",NA,"HT",0.1," "," ","HT",2010-12-19 02:00:00
"2","COOP:519500","WAILUPE VALLEY SCHOOL 723.6 HI US",61,21.2918,-157.7534,2010-12-19,"2:15",0.26," ",NA,"HT",0.1," "," ","HT",2010-12-19 02:15:00
"3","COOP:519500","WAILUPE VALLEY SCHOOL 723.6 HI US",61,21.2918,-157.7534,2010-12-19,"2:45",0.27," ",NA,"HT",0.1," "," ","HT",2010-12-19 02:45:00
"4","COOP:519500","WAILUPE VALLEY SCHOOL 723.6 HI US",61,21.2918,-157.7534,2010-12-19,"3:30",0.28," ",NA,"HT",0.1," "," ","HT",2010-12-19 03:30:00
"5","COOP:519500","WAILUPE VALLEY SCHOOL 723.6 HI US",61,21.2918,-157.7534,2010-12-19,"4:15",0.31," ",NA,"HT",0.3," "," ","HT",2010-12-19 04:15:00
"6","COOP:519500","WAILUPE VALLEY SCHOOL 723.6 HI US",61,21.2918,-157.7534,2010-12-19,"4:30",0.35," ",NA,"HT",0.4," "," ","HT",2010-12-19 04:30:00
"7","COOP:519500","WAILUPE VALLEY SCHOOL 723.6 HI US",61,21.2918,-157.7534,2010-12-19,"4:45",0.38," ",NA,"HT",0.3," "," ","HT",2010-12-19 04:45:00
"8","COOP:519500","WAILUPE VALLEY SCHOOL 723.6 HI US",61,21.2918,-157.7534,2010-12-19,"5:15",0.39," ",NA,"HT",0.1," "," ","HT",2010-12-19 05:15:00
"9","COOP:519500","WAILUPE VALLEY SCHOOL 723.6 HI US",61,21.2918,-157.7534,2010-12-19,"5:30",0.4," ",NA,"HT",0.1," "," ","HT",2010-12-19 05:30:00
"10","COOP:519500","WAILUPE VALLEY SCHOOL 723.6 HI US",61,21.2918,-157.7534,2010-12-19,"6:45",0.41," ",NA,"HT",0.1," "," ","HT",2010-12-19 06:45:00
"11","COOP:519500","WAILUPE VALLEY SCHOOL 723.6 HI US",61,21.2918,-157.7534,2010-12-19,"7:15",0.42," ",NA,"HT",0.1," "," ","HT",2010-12-19 07:15:00
"12","COOP:519500","WAILUPE VALLEY SCHOOL 723.6 HI US",61,21.2918,-157.7534,2010-12-19,"8:15",0.44," ",NA,"HT",0.2," "," ","HT",2010-12-19 08:15:00
"13","COOP:519500","WAILUPE VALLEY SCHOOL 723.6 HI US",61,21.2918,-157.7534,2010-12-19,"8:30",0.46," ",NA,"HT",0.2," "," ","HT",2010-12-19 08:30:00
"14","COOP:519500","WAILUPE VALLEY SCHOOL 723.6 HI US",61,21.2918,-157.7534,2010-12-19,"9:45",0.47," ",NA,"HT",0.1," "," ","HT",2010-12-19 09:45:00
"15","COOP:519500","WAILUPE VALLEY SCHOOL 723.6 HI US",61,21.2918,-157.7534,2010-12-19,"10:30",0.49," ",NA,"HT",0.2," "," ","HT",2010-12-19 10:30:00
"16","COOP:519500","WAILUPE VALLEY SCHOOL 723.6 HI US",61,21.2918,-157.7534,2010-12-19,"10:45",0.5," ",NA,"HT",0.1," "," ","HT",2010-12-19 10:45:00
"17","COOP:519500","WAILUPE VALLEY SCHOOL 723.6 HI US",61,21.2918,-157.7534,2010-12-19,"11:00",0.52," ",NA,"HT",0.2," "," ","HT",2010-12-19 11:00:00
"18","COOP:519500","WAILUPE VALLEY SCHOOL 723.6 HI US",61,21.2918,-157.7534,2010-12-19,"12:00",0.53," ",NA,"HT",0.1," "," ","HT",2010-12-19 12:00:00
"19","COOP:519500","WAILUPE VALLEY SCHOOL 723.6 HI US",61,21.2918,-157.7534,2010-12-19,"12:15",0.55," ",NA,"HT",0.2," "," ","HT",2010-12-19 12:15:00
"20","COOP:519500","WAILUPE VALLEY SCHOOL 723.6 HI US",61,21.2918,-157.7534,2010-12-19,"12:30",0.59," ",NA,"HT",0.4," "," ","HT",2010-12-19 12:30:00
"21","COOP:519500","WAILUPE VALLEY SCHOOL 723.6 HI US",61,21.2918,-157.7534,2010-12-19,"12:45",0.62," ",NA,"HT",0.3," "," ","HT",2010-12-19 12:45:00
"22","COOP:519500","WAILUPE VALLEY SCHOOL 723.6 HI US",61,21.2918,-157.7534,2010-12-19,"13:00",0.63," ",NA,"HT",0.1," "," ","HT",2010-12-19 13:00:00
"23","COOP:519500","WAILUPE VALLEY SCHOOL 723.6 HI US",61,21.2918,-157.7534,2010-12-19,"13:15",0.64," ",NA,"HT",0.1," "," ","HT",2010-12-19 13:15:00
"24","COOP:519500","WAILUPE VALLEY SCHOOL 723.6 HI US",61,21.2918,-157.7534,2010-12-19,"13:30",0.65," ",NA,"HT",0.1," "," ","HT",2010-12-19 13:30:00
