"","station","station_name","elevation","lat","lon","date","time","qgag","qgag_flag","qgag_qual","qgag_units","qpcp","qpcp_flag","qpcp_qual","qpcp_units"
"1","COOP:519500","WAILUPE VALLEY SCHOOL 723.6 HI US",54.9,21.29194,-157.7525,2004-01-02,"8:15",0.54," ",NA,"HT",0.1," "," ","HT"
"2","COOP:519500","WAILUPE VALLEY SCHOOL 723.6 HI US",54.9,21.29194,-157.7525,2004-01-02,"8:30",0.55," ",NA,"HT",0.1," "," ","HT"
"3","COOP:519500","WAILUPE VALLEY SCHOOL 723.6 HI US",54.9,21.29194,-157.7525,2004-01-02,"8:45",0.56," ",NA,"HT",0.1," "," ","HT"
"4","COOP:519500","WAILUPE VALLEY SCHOOL 723.6 HI US",54.9,21.29194,-157.7525,2004-01-02,"9:00",0.57," ",NA,"HT",0.1," "," ","HT"
"5","COOP:519500","WAILUPE VALLEY SCHOOL 723.6 HI US",54.9,21.29194,-157.7525,2004-01-02,"9:15",0.58," ",NA,"HT",0.1," "," ","HT"
"6","COOP:519500","WAILUPE VALLEY SCHOOL 723.6 HI US",54.9,21.29194,-157.7525,2004-01-02,"9:30",0.6," ",NA,"HT",0.2," "," ","HT"
"7","COOP:519500","WAILUPE VALLEY SCHOOL 723.6 HI US",54.9,21.29194,-157.7525,2004-01-02,"9:45",0.61," ",NA,"HT",0.1," "," ","HT"
"8","COOP:519500","WAILUPE VALLEY SCHOOL 723.6 HI US",54.9,21.29194,-157.7525,2004-01-02,"12:15",0.62," ",NA,"HT",0.1," "," ","HT"
"9","COOP:519500","WAILUPE VALLEY SCHOOL 723.6 HI US",54.9,21.29194,-157.7525,2004-01-02,"12:45",0.63," ",NA,"HT",0.1," "," ","HT"
"10","COOP:519500","WAILUPE VALLEY SCHOOL 723.6 HI US",54.9,21.29194,-157.7525,2004-01-02,"13:45",0.65," ",NA,"HT",0.2," "," ","HT"
"11","COOP:519500","WAILUPE VALLEY SCHOOL 723.6 HI US",54.9,21.29194,-157.7525,2004-01-02,"14:00",0.66," ",NA,"HT",0.1," "," ","HT"
"12","COOP:519500","WAILUPE VALLEY SCHOOL 723.6 HI US",54.9,21.29194,-157.7525,2004-01-02,"14:15",0.68," ",NA,"HT",0.2," "," ","HT"
"13","COOP:519500","WAILUPE VALLEY SCHOOL 723.6 HI US",54.9,21.29194,-157.7525,2004-01-02,"14:30",0.7," ",NA,"HT",0.2," "," ","HT"
"14","COOP:519500","WAILUPE VALLEY SCHOOL 723.6 HI US",54.9,21.29194,-157.7525,2004-01-02,"14:45",0.72," ",NA,"HT",0.2," "," ","HT"
"15","COOP:519500","WAILUPE VALLEY SCHOOL 723.6 HI US",54.9,21.29194,-157.7525,2004-01-02,"15:00",0.74," ",NA,"HT",0.2," "," ","HT"
"16","COOP:519500","WAILUPE VALLEY SCHOOL 723.6 HI US",54.9,21.29194,-157.7525,2004-01-02,"15:15",0.75," ",NA,"HT",0.1," "," ","HT"
"17","COOP:519500","WAILUPE VALLEY SCHOOL 723.6 HI US",54.9,21.29194,-157.7525,2004-01-02,"15:30",0.77," ",NA,"HT",0.2," "," ","HT"
"18","COOP:519500","WAILUPE VALLEY SCHOOL 723.6 HI US",54.9,21.29194,-157.7525,2004-01-02,"15:45",0.79," ",NA,"HT",0.2," "," ","HT"
"19","COOP:519500","WAILUPE VALLEY SCHOOL 723.6 HI US",54.9,21.29194,-157.7525,2004-01-02,"16:00",0.8," ",NA,"HT",0.1," "," ","HT"
"20","COOP:519500","WAILUPE VALLEY SCHOOL 723.6 HI US",54.9,21.29194,-157.7525,2004-01-02,"16:15",0.82," ",NA,"HT",0.2," "," ","HT"
"21","COOP:519500","WAILUPE VALLEY SCHOOL 723.6 HI US",54.9,21.29194,-157.7525,2004-01-02,"16:30",0.84," ",NA,"HT",0.2," "," ","HT"
"22","COOP:519500","WAILUPE VALLEY SCHOOL 723.6 HI US",54.9,21.29194,-157.7525,2004-01-02,"16:45",0.86," ",NA,"HT",0.2," "," ","HT"
"23","COOP:519500","WAILUPE VALLEY SCHOOL 723.6 HI US",54.9,21.29194,-157.7525,2004-01-02,"17:00",0.88," ",NA,"HT",0.2," "," ","HT"
"24","COOP:519500","WAILUPE VALLEY SCHOOL 723.6 HI US",54.9,21.29194,-157.7525,2004-01-02,"17:15",0.91," ",NA,"HT",0.3," "," ","HT"
"25","COOP:519500","WAILUPE VALLEY SCHOOL 723.6 HI US",54.9,21.29194,-157.7525,2004-01-02,"17:30",0.93," ",NA,"HT",0.2," "," ","HT"
"26","COOP:519500","WAILUPE VALLEY SCHOOL 723.6 HI US",54.9,21.29194,-157.7525,2004-01-02,"17:45",0.95," ",NA,"HT",0.2," "," ","HT"
"27","COOP:519500","WAILUPE VALLEY SCHOOL 723.6 HI US",54.9,21.29194,-157.7525,2004-01-02,"18:15",0.96," ",NA,"HT",0.1," "," ","HT"
"28","COOP:519500","WAILUPE VALLEY SCHOOL 723.6 HI US",54.9,21.29194,-157.7525,2004-01-02,"18:30",0.97," ",NA,"HT",0.1," "," ","HT"
"29","COOP:519500","WAILUPE VALLEY SCHOOL 723.6 HI US",54.9,21.29194,-157.7525,2004-01-02,"18:45",0.98," ",NA,"HT",0.1," "," ","HT"
"30","COOP:519500","WAILUPE VALLEY SCHOOL 723.6 HI US",54.9,21.29194,-157.7525,2004-01-02,"19:30",0.99," ",NA,"HT",0.1," "," ","HT"
"31","COOP:519500","WAILUPE VALLEY SCHOOL 723.6 HI US",54.9,21.29194,-157.7525,2004-01-02,"20:00",1," ",NA,"HT",0.1," "," ","HT"
"32","COOP:519500","WAILUPE VALLEY SCHOOL 723.6 HI US",54.9,21.29194,-157.7525,2004-01-02,"20:15",1.01," ",NA,"HT",0.1," "," ","HT"
"33","COOP:519500","WAILUPE VALLEY SCHOOL 723.6 HI US",54.9,21.29194,-157.7525,2004-01-02,"21:00",1.02," ",NA,"HT",0.1," "," ","HT"
"34","COOP:519500","WAILUPE VALLEY SCHOOL 723.6 HI US",54.9,21.29194,-157.7525,2004-01-02,"21:45",1.03," ",NA,"HT",0.1," "," ","HT"
"35","COOP:519500","WAILUPE VALLEY SCHOOL 723.6 HI US",54.9,21.29194,-157.7525,2004-01-02,"22:15",1.04," ",NA,"HT",0.1," "," ","HT"
