OBJECTID_12_13,Join_Count,TARGET_FID,OBJECTID_1,OBJECTID_2,OBJECTID_3,OBJECTID_4,OBJECTID,LINE_ID,TYPE,CALC_LENGT,DIAMETER,DRAINAGE_A,FLOW_RATE,LENGTH,WIDTH,HEIGHT,SLOPE,ROUGHNESS,VELOCITY,UPSTREAMNO,DOWNSTREAM,UPSTREAM_1,DOWNSTRE_1,FILENUM,INSTALL_DA,LIFE_CYCLE,OWNER,DATA_SOURC,CREATED_BY,LAST_EDITE,LAST_EDI_1,TYPE_USE,SHAPESTLen,Shape_Leng,Permanent_,FDate,Resolution,GNIS_ID,GNIS_Name,LengthKM,ReachCode,FlowDir,WBArea_Per,FTYPE,FCode,ComID,WbAreaComi,HUC8,DIVERGENCE,STREAMORDE,TOCOMID,CUMDRAINAG,MAFLOWU,MAVELU,TONODE,FROMNODE,OBJECTID_5,MainPath,InNetwork,Visibility,Shape_Le_1,Shape_Le_2,Shape_Le_3,Shape_Le_4,Enabled,Shape_Le_5,ORIG_FID,POINT_X,POINT_Y,POINT_Z,POINT_M,Elevation,subcatch_r,OBJECTID_12,NODE_ID,TYPE_1,DRAINAGE_A_1,FLOW_RATE_1,POINT_X_1,POINT_Y_1,CATCHMENT_,TOP_ELEV,INVELEV1,INVELEV2,INVELEV3,INVELEV4,NET_ROLE,HIST_STRU_,FILENUM_1,INSTALL_DA_1,LIFE_CYCLE_1,OWNER_1,DATA_SOURC_1,CREATED_BY_1,LAST_EDITE_1,LAST_EDI_12,DA_SRC_STR,ENABLED_1,ANCILLARYR,OUTFALL,SWID,TYPE_USE_1
1,1,0,2,707,707,710,5460,17825,Reinforced Concrete Pipe,63.513429150000000,18, , ,63.514, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,63.513429153300002,0.000176867881521, ,, , , ,0.000000000000000, , , , ,0,0,0, ,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000, , ,0,0,0,0,0.000000000000000,0.000000000000000,0.000176867881521,0.000176867872185,1,0.000176867872185,0,-157.751738130000007,21.283367976000001,0.000000000000000,nan,48.7173996,91,2201,22250,Catch Basin, , ,-157.751752537049924,21.283371399370651,4.900000, , , , , , ,HWES 38-3-1,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,True,None,HWES 38,HWES 38-22250, 
2,1,1,2,707,707,710,5460,17825,Reinforced Concrete Pipe,63.513429150000000,18, , ,63.514, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,63.513429153300002,0.000176867881521, ,, , , ,0.000000000000000, , , , ,0,0,0, ,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000, , ,0,0,0,0,0.000000000000000,0.000000000000000,0.000176867881521,0.000176867872185,1,0.000176867872185,0,-157.751661665000000,21.283208519999999,0.000000000000000,nan,48.7173996,91,22555,22253,Man Hole, , ,-157.751676071293616,21.283211943276626,7.5, , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,True,None,HWES 38,HWES 38-22253, 
3,0,2,4,6535,6535,40,1602,0, ,0.000000000000000, , , , , , ,0, , , , , , , , , , , , , , , ,0.000000000000000,0.011149607160700,32649753,3/10/2012 0:00:00,2, , ,1.210000000000000,20060000002403,1, ,460,46003,0,0, ,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000, , ,46,0,1,0,0.011149606400200,1214.612120770000047,0.011149606727300,0.011149606964600,1,0.011149606964600,1,-157.749847998999996,21.321192766999999,0.000000000000000,99.999905999999996,1964.1500244,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,3,4,6535,6535,40,1602,0, ,0.000000000000000, , , , , , ,0, , , , , , , , , , , , , , , ,0.000000000000000,0.011149607160700,32649753,3/10/2012 0:00:00,2, , ,1.210000000000000,20060000002403,1, ,460,46003,0,0, ,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000, , ,46,0,1,0,0.011149606400200,1214.612120770000047,0.011149606727300,0.011149606964600,1,0.011149606964600,1,-157.754623597999995,21.311802701000001,0.000000000000000,-0.000093999999876,891.4489746,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,4,5,5070,5070,5299,47736,37254,Reinforced Concrete Pipe,96.400559770000001,24,1.7,18.8, , , ,0.149000,0.540000,4.400000, , , , ,2626,1990-09-26T00:00:00.000Z, ,Private,SWQDC As-built,SWQDC,jnolan,A50=1.6, ,96.400559771100006,0.000274514954234, ,, , , ,0.000000000000000, , , , ,0,0,0, ,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000, , ,0,0,0,0,0.000000000000000,0.000000000000000,0.000274514954234,0.000274514857158,1,0.000274514857158,2,-157.747069974999988,21.293551142999998,0.000000000000000,nan,923.8389893,42,55994,42530,Catch Basin,0.5,1.8,-157.747084381139246,21.293554565890531,8.300000, , , , , , , ,2626,1990-09-26T00:00:00.000Z,"Constructed, existing ROW",Private,SWQDC As-built,SWQDC,jnolan, , ,True,None,HWES 50,HWES 50-42530, 
6,1,5,5,5070,5070,5299,47736,37254,Reinforced Concrete Pipe,96.400559770000001,24,1.7,18.8, , , ,0.149000,0.540000,4.400000, , , , ,2626,1990-09-26T00:00:00.000Z, ,Private,SWQDC As-built,SWQDC,jnolan,A50=1.6, ,96.400559771100006,0.000274514954234, ,, , , ,0.000000000000000, , , , ,0,0,0, ,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000, , ,0,0,0,0,0.000000000000000,0.000000000000000,0.000274514954234,0.000274514857158,1,0.000274514857158,2,-157.747271299999994,21.293364524000001,0.000000000000000,nan,923.8389893,42,4778,42511,Catch Basin,0.800000,1.100000,-157.747285706070443,21.293367946673470,11.200000, , , , , , , ,2626,1990-09-26T00:00:00.000Z,"Constructed, existing ROW",Private,SWQDC As-built,SWQDC,jnolan, , ,True,None,HWES 50,HWES 50-42511, 
7,1,6,7,579,579,580,4838,24150,Reinforced Concrete Pipe,46.438100740000003,30, , ,30, , , , , , , , , ,Pre-SWQDC, , ,Private,Pre-SWQDC,Pre-SWQDC,jnolan, , ,46.438100742300001,0.000129584792897, ,, , , ,0.000000000000000, , , , ,0,0,0, ,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000, , ,0,0,0,0,0.000000000000000,0.000000000000000,0.000129584792897,0.000129584978963,1,0.000129584978963,3,-157.746454284999999,21.285542283000002,0.000000000000000,nan,365.8829956,63,10630,25606,Catch Basin, , ,-157.746468690877350,21.285545706469236,10.100000, , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",Private,Pre-SWQDC,Pre-SWQDC,jnolan, , ,True,None,HMB 56,HMB 56-25606, 
8,1,7,7,579,579,580,4838,24150,Reinforced Concrete Pipe,46.438100740000003,30, , ,30, , , , , , , , , ,Pre-SWQDC, , ,Private,Pre-SWQDC,Pre-SWQDC,jnolan, , ,46.438100742300001,0.000129584792897, ,, , , ,0.000000000000000, , , , ,0,0,0, ,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000, , ,0,0,0,0,0.000000000000000,0.000000000000000,0.000129584792897,0.000129584978963,1,0.000129584978963,3,-157.746393481000013,21.285427849000001,0.000000000000000,nan,365.8829956,63,27329,25607,Man Hole, , ,-157.746407888613135,21.285431272235485,10.5, , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",Private,Pre-SWQDC,Pre-SWQDC,jnolan, , ,True,None,HMB 56,HMB 56-25607, 
9,1,8,11,5954,5954,6232,56088,21854,Reinforced Concrete Pipe,192.509492370000004,48, , ,180, , , , , , , , , ,Pre-SWQDC, , ,Private,Pre-SWQDC,Pre-SWQDC,jnolan, , ,192.509492365000000,0.000556031801290, ,, , , ,0.000000000000000, , , , ,0,0,0, ,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000, , ,0,0,0,0,0.000000000000000,0.000000000000000,0.000556031801290,0.000556031393768,1,0.000556031393768,4,-157.745974574999991,21.283446500000000,0.000000000000000,nan,256.4549866,67,24527,25551,Man Hole, , ,-157.745988982605439,21.283449923675107,8.800000000000001, , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",Private,Pre-SWQDC,Pre-SWQDC,jnolan,Edited by FILENUM 18157, ,True,None,HMB 56,HMB 56-25551, 
10,1,9,11,5954,5954,6232,56088,21854,Reinforced Concrete Pipe,192.509492370000004,48, , ,180, , , , , , , , , ,Pre-SWQDC, , ,Private,Pre-SWQDC,Pre-SWQDC,jnolan, , ,192.509492365000000,0.000556031801290, ,, , , ,0.000000000000000, , , , ,0,0,0, ,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000, , ,0,0,0,0,0.000000000000000,0.000000000000000,0.000556031801290,0.000556031393768,1,0.000556031393768,4,-157.745491923000003,21.283170424000001,0.000000000000000,nan,256.4549866,67,14326,25549,Man Hole, , ,-157.745506329053825,21.283173847994760,9.600000, , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",Private,Pre-SWQDC,Pre-SWQDC,jnolan, , ,True,None,HMB 56,HMB 56-25549, 
