STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,DATE,TIME,QGAG,Measurement Flag,Quality Flag,Units,QPCP,Measurement Flag,Quality Flag,Units
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.4,21.29917,-157.66472,20080101,2008-01-01,0:15,4.88, , ,HT,0,g, ,HT
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.4,21.29917,-157.66472,20080102,2008-01-02,8:15,4.89, , ,HT,0.1, , ,HT
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.4,21.29917,-157.66472,20080102,2008-01-02,12:45,4.81, , ,HT,-9999, , , 
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.4,21.29917,-157.66472,20080102,2008-01-02,13:00,999.99,{, ,HT,999.99,{, ,HT
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.4,21.29917,-157.66472,20080102,2008-01-02,13:45,999.99,}, ,HT,999.99,}, ,HT
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.4,21.29917,-157.66472,20080102,2008-01-02,14:15,0.03,N, ,HT,-9999, , , 
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.4,21.29917,-157.66472,20080102,2008-01-02,15:15,0.03, , ,HT,-9999, , , 
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.4,21.29917,-157.66472,20080104,2008-01-04,4:00,0.04, , ,HT,0.1, , ,HT
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.4,21.29917,-157.66472,20080107,2008-01-07,2:00,0.04, , ,HT,-9999, , , 
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.4,21.29917,-157.66472,20080120,2008-01-20,14:00,0.02,V, ,HT,-9999, , , 
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.4,21.29917,-157.66472,20080123,2008-01-23,7:45,0.03, , ,HT,0.1, , ,HT
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.4,21.29917,-157.66472,20080123,2008-01-23,8:45,0.04, , ,HT,0.1, , ,HT
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.4,21.29917,-157.66472,20080124,2008-01-24,15:30,0.03,V, ,HT,-9999, , , 
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.4,21.29917,-157.66472,20080128,2008-01-28,15:15,0.04, , ,HT,0.1, , ,HT
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.4,21.29917,-157.66472,20080128,2008-01-28,23:45,0.05, , ,HT,0.1, , ,HT
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.4,21.29917,-157.66472,20080130,2008-01-30,1:30,0.06, , ,HT,0.1, , ,HT
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.4,21.29917,-157.66472,20080130,2008-01-30,3:30,0.07, , ,HT,0.1, , ,HT
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.4,21.29917,-157.66472,20080130,2008-01-30,4:45,0.08, , ,HT,0.1, , ,HT
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.4,21.29917,-157.66472,20080131,2008-01-31,5:00,0.08, , ,HT,-9999, , , 
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.4,21.29917,-157.66472,20080201,2008-02-01,0:15,0.08, , ,HT,0,g, ,HT
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.4,21.29917,-157.66472,20080201,2008-02-01,1:15,-9999, , , ,999.99,{, ,HT
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.4,21.29917,-157.66472,20080201,2008-02-01,11:30,0.08, , ,HT,-9999, , , 
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.4,21.29917,-157.66472,20080201,2008-02-01,11:45,999.99,{, ,HT,-9999, , , 
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.4,21.29917,-157.66472,20080201,2008-02-01,13:30,999.99,}, ,HT,-9999, , , 
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.4,21.29917,-157.66472,20080201,2008-02-01,14:15,0.01,N, ,HT,-9999, , , 
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.4,21.29917,-157.66472,20080207,2008-02-07,14:30,1.92, , ,HT,-9999, , , 
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.4,21.29917,-157.66472,20080207,2008-02-07,14:45,999.99,{, ,HT,-9999, , , 
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.4,21.29917,-157.66472,20080208,2008-02-08,14:00,999.99,}, ,HT,-9999, , , 
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.4,21.29917,-157.66472,20080208,2008-02-08,14:15,0.01, , ,HT,-9999, , , 
